place_id,name,name_my,category,category_my,house_number,house_number_my,full_address,full_address_my,township,township_my,district,district_my,sub_region,sub_region_my,postal_code,lat,lon,phone,rating,review_count,website,city,embed_text
395,Palace,ပဲလေ့စ်,Food & Cold Drink,စားသောက်ဆိုင်,1-Dec,1^12,"1/12 Than Thu Mar Road, Ward-29 Thuwunna, Thingangyun, Yangon","၁^၁၂, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.821573,96.203637,,4.5,595,,Yangon,"Name: Palace (ပဲလေ့စ်). Category: Food & Cold Drink. House Number: 1-Dec. Address: ၁^၁၂, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1347,Palae Vision,ပုလဲဗီရှင်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.830591,96.202591,,4.7,451,,Yangon,Name: Palae Vision (ပုလဲဗီရှင်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
619,Palal Thidar Mobile,Palal Thidar Mobile,Shop,အထွေထွေအမျိုးအစား,,,"Ward 29 Thuwunna (TGGN), Thingangyun","Ward 29 Thuwunna (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8219,96.2041,,4.9,67,,Yangon,"Name: Palal Thidar Mobile. Category: Shop. Address: Ward 29 Thuwunna (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
1761,Pan Ei,ပန်းအိ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.843483,96.200595,,4.1,493,,Yangon,Name: Pan Ei (ပန်းအိ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
911,Pan Ei San,ပန်းအိစံ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.82747,96.208681,,4.1,343,,Yangon,Name: Pan Ei San (ပန်းအိစံ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1249,Pan Kabar,ပန်းကမ္ဘာ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.837591,96.20698,,4.9,157,,Yangon,Name: Pan Kabar (ပန်းကမ္ဘာ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1356,Pan Kant Kaw,ပန်းကံ့ကော်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.834283,96.199087,,4.6,478,,Yangon,Name: Pan Kant Kaw (ပန်းကံ့ကော်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1381,Pan Kha Yay,ပန်းခရေ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.841634,96.20324,,4.1,553,,Yangon,Name: Pan Kha Yay (ပန်းခရေ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
796,Pan Mart,ပန် မတ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.829255,96.18609,,4.6,598,,Yangon,Name: Pan Mart (ပန် မတ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
789,Pan Myint Thu,ပန်းမြင့်သူ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.827287,96.209468,,4.9,577,,Yangon,Name: Pan Myint Thu (ပန်းမြင့်သူ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1603,Pan Tain,ပန်းတိုင်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.836415,96.185116,,4.3,19,,Yangon,Name: Pan Tain (ပန်းတိုင်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1557,Pan Tain Thit,ပန်းတိုင်သစ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.836592,96.185491,,4.7,481,,Yangon,Name: Pan Tain Thit (ပန်းတိုင်သစ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
208,Pan Thazin,ပန်းသဇင်,KTV,ဘားနှင့် ဖျော်ဖြေရေး,52,52,"52 Lay Daung Kan Road, Lay Daunkan Ward, Thingangyun, Yangon","၅၂, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.835584,96.198161,,4.8,34,,Yangon,"Name: Pan Thazin (ပန်းသဇင်). Category: KTV. House Number: 52. Address: ၅၂, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1860,Pan Tine Thit,ပန်းတိုင်သစ်,Repair Facility,ပြုပြင်ရေးလုပ်ငန်း,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.836292,96.185871,,4,190,,Yangon,Name: Pan Tine Thit (ပန်းတိုင်သစ်). Category: Repair Facility. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1429,Pan Wai Thi,ပန်း၀ေသီ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.842024,96.202099,,4.9,97,,Yangon,Name: Pan Wai Thi (ပန်း၀ေသီ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1691,Pan Yeik,ပန်းရိပ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.838042,96.202319,,4.1,283,,Yangon,Name: Pan Yeik (ပန်းရိပ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1692,Pann Pann,ပန်းပန်း,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.820659,96.197606,,4.2,286,,Yangon,Name: Pann Pann (ပန်းပန်း). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
111,Paper Dream,ပေပါဒရင်းမ်,Restaurant,စားသောက်ဆိုင်,1,1,"1 Yadanar Road, Bawa Myint Ward, Thingangyun, Yangon","၁, ရတနာလမ်း, ဘ၀မြင့်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.844519,96.199671,,4.1,343,,Yangon,"Name: Paper Dream (ပေပါဒရင်းမ်). Category: Restaurant. House Number: 1. Address: ၁, ရတနာလမ်း, ဘ၀မြင့်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
347,Paragon,ပါရဂွန်,Printing Service,ပြုပြင်ရေးလုပ်ငန်း,1-Jun,43471,"1/6 Than Thu Mar Road, Ward-24 Thuwunna, Thingangyun, Yangon","၄၃၄၇၁, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၄)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.817455,96.19702,,4.7,451,,Yangon,"Name: Paragon (ပါရဂွန်). Category: Printing Service. House Number: 1-Jun. Address: ၄၃၄၇၁, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၄)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
766,Paragon,ပါရဂွန်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.817431,96.19713,,4.6,508,,Yangon,Name: Paragon (ပါရဂွန်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1852,Parent Shade,မိဘအရိပ်,Repair Facility,ပြုပြင်ရေးလုပ်ငန်း,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.836174,96.198902,,4.2,166,,Yangon,Name: Parent Shade (မိဘအရိပ်). Category: Repair Facility. Address: Thingangyun. Township: Thingangyun. District: Yangon East
504,Paw San,Paw San,Residence,ရုံးခန်းနှင့် လူနေအိမ်ရာ,,,"Paw San Hmwe St.,Ward 29 Thuwunna (TGGN),Thingangyun","Paw San Hmwe St.,Ward 29 Thuwunna (TGGN),Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8161,96.2059,,4.4,322,,Yangon,"Name: Paw San. Category: Residence. Address: Paw San Hmwe St.,Ward 29 Thuwunna (TGGN),Thingangyun. Township: Thingangyun. District: Yangon East"
1430,Pe Ti Cho,ပီတိချို,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.840869,96.202157,,4,100,,Yangon,Name: Pe Ti Cho (ပီတိချို). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1762,Pearl.D,ပုလဲဒီ,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.839887,96.200253,,4.2,496,,Yangon,Name: Pearl.D (ပုလဲဒီ). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1181,Pencom,ပန်ကွန်,Company,ရုံးခန်းနှင့် လူနေအိမ်ရာ,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.82962,96.18529,,4.1,553,,Yangon,Name: Pencom (ပန်ကွန်). Category: Company. Address: Thingangyun. Township: Thingangyun. District: Yangon East
348,Pentagon Group,ပန်တခွန်ဂရု,Air-con Sales & Service,ပြုပြင်ရေးလုပ်ငန်း,4-Mar,43558,"4/3 Than Thu Mar Road, Ward-24 Thuwunna, Thingangyun, Yangon","၄၃၅၅၈, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၄)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.8154,96.192518,,4.8,454,,Yangon,"Name: Pentagon Group (ပန်တခွန်ဂရု). Category: Air-con Sales & Service. House Number: 4-Mar. Address: ၄၃၅၅၈, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၄)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1763,Perfect,ပါဖတ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.839966,96.200881,,4.3,499,,Yangon,Name: Perfect (ပါဖတ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1735,Perfect,ပါ့ဖက်ထ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.835647,96.207233,,4.5,415,,Yangon,Name: Perfect (ပါ့ဖက်ထ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
